                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3843,                0.27778,                      1,                 1.3833,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                 1.3142,                0.27778,                      1,                 1.3862,             0.00012018,             0.00012018,             0.00012018
                      3,                 1.2441,                0.27778,                      1,                 1.3652,             0.00018196,             0.00018196,             0.00018196
                      4,                 1.0786,                0.27778,                      1,                 1.4004,             0.00024248,             0.00024248,             0.00024248
                      5,                 1.0021,                    0.5,                      1,                 1.2593,             0.00030172,             0.00030172,             0.00030172
                      6,                 1.0019,                0.58333,                      1,                 1.1089,             0.00035969,             0.00035969,             0.00035969
                      7,                0.90128,                0.66667,                      1,                 1.0122,             0.00041638,             0.00041638,             0.00041638
                      8,                0.86225,                0.77778,                      1,                0.96143,             0.00047181,             0.00047181,             0.00047181
                      9,                0.61072,                0.69444,                      1,                 1.0454,             0.00052596,             0.00052596,             0.00052596
                     10,                0.56711,                0.88889,                      1,                0.95386,             0.00057884,             0.00057884,             0.00057884
                     11,                0.68439,                0.83333,                      1,                0.88013,             0.00063045,             0.00063045,             0.00063045
                     12,                 0.5636,                0.77778,                      1,                0.91113,             0.00063625,             0.00063625,             0.00063625
                     13,                0.57481,                0.86111,                      1,                0.90259,             0.00062918,             0.00062918,             0.00062918
                     14,                0.63748,                0.77778,                      1,                0.91846,             0.00062211,             0.00062211,             0.00062211
                     15,                 0.7651,                0.94444,                      1,                0.85889,             0.00061504,             0.00061504,             0.00061504
                     16,                 0.6361,                0.94444,                      1,                0.81641,             0.00060797,             0.00060797,             0.00060797
                     17,                0.53844,                0.83333,                      1,                0.96826,              0.0006009,              0.0006009,              0.0006009
                     18,                0.59207,                0.88889,                      1,                0.91504,             0.00059383,             0.00059383,             0.00059383
                     19,                0.50864,                0.86111,                      1,                0.88159,             0.00058677,             0.00058677,             0.00058677
                     20,                0.55968,                0.77778,                      1,                0.99927,              0.0005797,              0.0005797,              0.0005797
                     21,                0.63386,                   0.75,                      1,                 1.1072,             0.00057263,             0.00057263,             0.00057263
                     22,                0.51159,                0.91667,                      1,                0.84741,             0.00056556,             0.00056556,             0.00056556
                     23,                0.49852,                      1,                      1,                0.84204,             0.00055849,             0.00055849,             0.00055849
                     24,                 0.4708,                0.91667,                      1,                0.87451,             0.00055142,             0.00055142,             0.00055142
                     25,                0.58824,                0.88889,                      1,                0.92285,             0.00054435,             0.00054435,             0.00054435
                     26,                0.40143,                0.88889,                      1,                0.96558,             0.00053728,             0.00053728,             0.00053728
                     27,                0.39471,                0.80556,                      1,                0.93579,             0.00053022,             0.00053022,             0.00053022
                     28,                0.40667,                0.80556,                      1,                0.85791,             0.00052315,             0.00052315,             0.00052315
                     29,                0.43271,                0.83333,                      1,                0.84302,             0.00051608,             0.00051608,             0.00051608
                     30,                 0.5446,                0.88889,                      1,                0.84204,             0.00050901,             0.00050901,             0.00050901
                     31,                0.51049,                0.86111,                      1,                0.86401,             0.00050194,             0.00050194,             0.00050194
                     32,                 0.4752,                0.88889,                      1,                0.97314,             0.00049487,             0.00049487,             0.00049487
                     33,                 0.4264,                0.88889,                      1,                0.88623,              0.0004878,              0.0004878,              0.0004878
                     34,                0.44172,                0.94444,                      1,                0.81714,             0.00048074,             0.00048074,             0.00048074
                     35,                  0.438,                0.88889,                      1,                0.82153,             0.00047367,             0.00047367,             0.00047367
                     36,                0.44212,                0.97222,                      1,                0.80249,              0.0004666,              0.0004666,              0.0004666
                     37,                0.42232,                0.91667,                      1,                0.86743,             0.00045953,             0.00045953,             0.00045953
                     38,                0.37785,                0.91667,                      1,                0.96021,             0.00045246,             0.00045246,             0.00045246
                     39,                0.45439,                0.88889,                      1,                0.87402,             0.00044539,             0.00044539,             0.00044539
                     40,                0.36727,                0.91667,                      1,                0.86426,             0.00043832,             0.00043832,             0.00043832
                     41,                0.32632,                0.86111,                      1,                0.92603,             0.00043126,             0.00043126,             0.00043126
                     42,                0.31896,                0.88889,                      1,                0.90454,             0.00042419,             0.00042419,             0.00042419
                     43,                 0.5005,                0.88889,                      1,                0.95703,             0.00041712,             0.00041712,             0.00041712
                     44,                0.42257,                0.86111,                      1,                0.83301,             0.00041005,             0.00041005,             0.00041005
                     45,                0.38387,                0.91667,                      1,                0.89502,             0.00040298,             0.00040298,             0.00040298
                     46,                0.37902,                0.97222,                      1,                0.83228,             0.00039591,             0.00039591,             0.00039591
                     47,                 0.3298,                0.97222,                      1,                0.85059,             0.00038884,             0.00038884,             0.00038884
                     48,                0.30648,                0.94444,                      1,                0.84424,             0.00038178,             0.00038178,             0.00038178
                     49,                0.46387,                0.94444,                      1,                0.90112,             0.00037471,             0.00037471,             0.00037471
                     50,                0.39663,                0.94444,                      1,                0.83423,             0.00036764,             0.00036764,             0.00036764
                     51,                0.39008,                0.94444,                      1,                0.82886,             0.00036057,             0.00036057,             0.00036057
                     52,                0.35913,                0.91667,                      1,                0.89087,              0.0003535,              0.0003535,              0.0003535
                     53,                0.34631,                0.91667,                      1,                0.93359,             0.00034643,             0.00034643,             0.00034643
                     54,                0.22316,                0.86111,                      1,                  0.875,             0.00033936,             0.00033936,             0.00033936
                     55,                0.37377,                0.86111,                      1,                 0.9043,              0.0003323,              0.0003323,              0.0003323
                     56,                0.40948,                0.91667,                      1,                0.83594,             0.00032523,             0.00032523,             0.00032523
                     57,                0.28666,                0.91667,                      1,                0.90063,             0.00031816,             0.00031816,             0.00031816
                     58,                0.28463,                0.88889,                      1,                0.85083,             0.00031109,             0.00031109,             0.00031109
                     59,                0.38816,                0.91667,                      1,                0.98438,             0.00030402,             0.00030402,             0.00030402
                     60,                0.33051,                0.94444,                      1,                0.82715,             0.00029695,             0.00029695,             0.00029695
                     61,                0.32254,                0.94444,                      1,                0.85547,             0.00028988,             0.00028988,             0.00028988
                     62,                0.35346,                0.94444,                      1,                0.81445,             0.00028282,             0.00028282,             0.00028282
                     63,                0.22673,                0.94444,                      1,                0.88525,             0.00027575,             0.00027575,             0.00027575
                     64,                0.35101,                0.91667,                      1,                 0.8562,             0.00026868,             0.00026868,             0.00026868
                     65,                0.34626,                0.91667,                      1,                0.87378,             0.00026161,             0.00026161,             0.00026161
                     66,                0.17864,                0.94444,                      1,                0.79614,             0.00025454,             0.00025454,             0.00025454
                     67,                0.27917,                0.94444,                      1,                0.81763,             0.00024747,             0.00024747,             0.00024747
                     68,                0.32058,                0.94444,                      1,                0.82446,              0.0002404,              0.0002404,              0.0002404
                     69,                0.30379,                0.94444,                      1,                0.82031,             0.00023334,             0.00023334,             0.00023334
                     70,                0.30105,                0.91667,                      1,                0.81519,             0.00022627,             0.00022627,             0.00022627
                     71,                0.35526,                0.91667,                      1,                0.82959,              0.0002192,              0.0002192,              0.0002192
                     72,                 0.2134,                0.88889,                      1,                0.80835,             0.00021213,             0.00021213,             0.00021213
                     73,                0.29399,                0.94444,                      1,                 0.8103,             0.00020506,             0.00020506,             0.00020506
